Model,seconds,MAE,RMSE,R2,R2_log1p,WAPE_pct,sMAPE_pct,zero_demand_pct,n,mean_actual,mean_pred
XGBoost,24.0,31.0669,90.0033,0.908488,0.952846,22.9107,46.2944,7.7991,38376,135.6002,129.2366
Naive: 4-wk mean,0.0,35.8897,106.561,0.871721,0.935931,26.4673,46.1375,7.7991,38376,135.6002,127.2797
Random Forest,639.0,37.3769,116.5748,0.846478,0.941088,27.5641,49.463,7.7991,38376,135.6002,117.1946
Naive: last week,0.0,41.2633,117.5365,0.843935,0.90948,30.4302,50.8173,7.7991,38376,135.6002,132.2185
Decision Tree,3.6,39.661,122.4491,0.830616,0.938726,29.2485,50.2022,7.7991,38376,135.6002,118.6107
Linear Regression,0.5,189.3882,3017.4865,-101.860918,0.782944,139.6667,75.5343,7.7991,38376,135.6002,238.227
